misalignment_index,cam_roll_deg,cam_pitch_deg,cam_yaw_deg,yaw_index,car_roll_deg,car_pitch_deg,car_yaw_deg,weighted_rmse
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,0,0.0,-0.0,-180.0,0.0008679587693437359
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,1,0.0,-0.0,-175.0,0.0008727888262627658
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,2,0.0,-0.0,-170.0,0.0008777019457503129
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,3,0.0,-0.0,-165.0,0.0008824921934889076
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,4,0.0,-0.0,-160.0,0.0008869714865071592
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,5,0.0,-0.0,-155.0,0.000890979351919302
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,6,0.0,-0.0,-150.0,0.0008943904067751338
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,7,0.0,-0.0,-145.0,0.0008971183444627088
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,8,0.0,-0.0,-140.0,0.0008991172987602844
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,9,0.0,-0.0,-135.0,0.0009003790161334173
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,10,0.0,-0.0,-130.0,0.0009009278557558168
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,11,0.0,-0.0,-125.00000000000001,0.0009008129105460027
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,12,0.0,-0.0,-120.00000000000001,0.0009000996691532208
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,13,0.0,-0.0,-115.0,0.000898860743488077
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,14,0.0,-0.0,-109.99999999999999,0.0008971682441956121
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,15,0.0,-0.0,-105.00000000000001,0.0008950870940642102
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,16,0.0,-0.0,-100.0,0.0008926687992759577
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,17,0.0,-0.0,-95.0,0.0008899442950680373
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,18,0.0,-0.0,-89.99999999999999,0.0008869294844981017
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,19,0.0,-0.0,-85.0,0.0008836227857669207
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,20,0.0,-0.0,-80.0,0.0008800362311662158
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,21,0.0,-0.0,-75.0,0.0008762162014722785
0,-0.5,-0.4999999999999999,-3.8826608787250196e-19,22,0.0,-0.0,-70.0,0.0008722326624300502
