frame_index,elapsed_ms,utc_time,car_lat,car_lon,car_pitch_deg,car_roll_deg,car_yaw_deg,accumulator_dump,solar_azimuth_deg,solar_zenith_deg,estimated_solar_azimuth_insenu_deg,estimated_solar_azimuth_camxyz_deg,estimated_solar_azimuth_carxyz_deg
0,2396,2025-11-24T15:37:35+00:00,44.23501890935367,-76.46910410218904,-0.03976650526405725,1.0727752321030462,-62.12795105083006,results/accumulator_0000.csv,160.93294201709676,67.1523538208646,-15.97410418230239,101.9,168.10000000000005
50,2394,2025-11-24T15:37:45+00:00,44.235018886180434,-76.4691041382322,-0.03922833733063928,1.0809515766427817,-62.121855610449266,results/accumulator_0050.csv,160.97390051116867,67.14263552142893,-15.980230512671591,101.9,168.10000000000005
100,2402,2025-11-24T15:37:55+00:00,44.23501890577275,-76.46910416633344,-0.036090042755026544,1.079629463460558,-62.12482675890554,results/accumulator_0100.csv,161.01486756989397,67.13293743708633,-15.97725219845904,101.9,168.10000000000005
150,2417,2025-11-24T15:38:05+00:00,44.23501887987834,-76.46910416529148,-0.03321851626732977,1.0835092047758212,-62.12905928891338,results/accumulator_0150.csv,161.05584318842142,67.12325948844989,-15.973032590935778,101.9,168.10000000000005
200,2423,2025-11-24T15:38:15+00:00,44.23501893819911,-76.46910412111328,-0.040828107866956294,1.0795629520692378,-62.13045202576815,results/accumulator_0200.csv,161.09682738464906,67.11360180424728,-15.571696701862722,102.30000000000001,167.7
250,2428,2025-11-24T15:38:25+00:00,44.235018986963254,-76.46910416089652,-0.04424351897327961,1.0777555566898502,-62.13134343786847,results/accumulator_0250.csv,161.1378200069952,67.10396433454487,-15.670783863036041,102.2,167.79999999999998
300,2438,2025-11-24T15:38:35+00:00,44.23501892426954,-76.46910425260982,-0.03824717631181521,1.078481558450144,-62.14838079935238,results/accumulator_0300.csv,161.17882105935382,67.0943469842921,-15.053844595824188,102.80000000000001,167.20000000000002
350,2432,2025-11-24T15:38:45+00:00,44.2351531594188,-76.46877842415941,-0.10373251646047428,1.1987116324174008,-67.64016493009508,results/accumulator_0350.csv,161.2201697054952,67.08480182784226,-14.161636092688541,98.2,171.80000000000004
400,2398,2025-11-24T15:38:55+00:00,44.23517560074919,-76.46842456913635,1.684328519406437,0.4997067094032512,-151.26007921144645,results/accumulator_0400.csv,161.26153929732044,67.07516496194367,-15.930831526272266,12.8,-102.80000000000001
450,2383,2025-11-24T15:39:05+00:00,44.234764136214686,-76.46830525031594,0.5589964524168786,-0.8307113601315351,172.1211620888592,results/accumulator_0450.csv,161.30262764493858,67.06519154794609,163.67086306143415,155.8,114.2
500,2383,2025-11-24T15:39:15+00:00,44.234666231386946,-76.46879587601215,1.1469283008759632,0.0014580412058020223,90.83272885021653,results/accumulator_0500.csv,161.34316633551396,67.05567520106304,158.6635086119759,69.5,-159.50000000000003
550,2380,2025-11-24T15:39:25+00:00,44.23437403523186,-76.46914166168963,1.0888861663146618,0.343758906906966,-179.74562313398303,results/accumulator_0550.csv,161.38382972477606,67.04596133676137,163.25416606916292,163.5,106.5
600,2376,2025-11-24T15:39:35+00:00,44.23403587299025,-76.4691823667149,-0.18173783438599184,-2.1733095142406746,95.26362647611914,results/accumulator_0600.csv,161.42479594179315,67.03615406739634,166.1425786040177,81.4,-171.40000000000003
650,2382,2025-11-24T15:39:45+00:00,44.23421156060954,-76.46988101376202,-1.9936007272738239,-0.9933947886316208,71.19413222260195,results/accumulator_0650.csv,161.46519147268256,67.02700394069433,162.80541030711834,54.0,-144.0
700,2396,2025-11-24T15:39:55+00:00,44.233987000910325,-76.47020701829008,0.5063261048990744,1.4248529638033642,179.05560324089933,results/accumulator_0700.csv,161.50590853268088,67.01740922556957,161.0505762396747,160.10000000000002,109.89999999999999
750,2407,2025-11-24T15:40:05+00:00,44.23328634651791,-76.47021100880212,1.1854296560821689,1.7947184172992345,-178.86853668944275,results/accumulator_0750.csv,161.5468874926019,67.00730973271885,162.89866094687227,164.0,106.0
800,2410,2025-11-24T15:40:15+00:00,44.232569027109335,-76.4702291049356,1.1359542729127914,1.696313703184781,179.73693157732757,results/accumulator_0800.csv,161.58785897847588,66.99721760266947,162.48953524847468,162.20000000000002,107.79999999999998
850,2412,2025-11-24T15:40:25+00:00,44.231881023682874,-76.4702012337817,1.047327453844636,2.0515746512129174,-172.25137512965745,results/accumulator_0850.csv,161.6288883929479,66.9871628853445,162.58331579854544,170.3,99.69999999999997
900,2478,2025-11-24T15:40:35+00:00,44.23155250434864,-76.47008287325146,1.2013247799237536,0.33686873113233556,-159.32463437119816,results/accumulator_0900.csv,161.67006378647395,66.97744906553132,-15.169474885761252,5.500000000000001,-95.50000000000003
950,2397,2025-11-24T15:40:45+00:00,44.23103634265832,-76.46960866950971,-2.555162088404244,-0.7455874042540691,-144.85654814898064,results/accumulator_0950.csv,161.71157381384438,66.96749736486049,-22.123318224327882,13.0,-103.0
